Date,Open,High,Low,Close,Adj Close,Volume
2021-07-28,136.720840,136.806885,135.411087,135.535370,132.228256,2660815
2021-07-29,136.070740,136.673035,135.372849,135.688339,132.377502,2793761
2021-07-30,135.296371,135.611862,134.598465,134.761002,131.472778,3698238
2021-08-02,135.229446,136.768646,134.827911,135.200760,131.901810,3064257
2021-08-03,135.659653,138.336517,135.420654,137.734222,134.373459,4272596
2021-08-04,137.476105,137.839386,136.204590,136.481842,133.151642,2960285
2021-08-05,136.739960,137.103256,135.965576,136.491394,133.160965,2884240
2021-08-06,136.711288,138.040146,136.606125,137.753342,134.392105,4002833
2021-08-09,135.946457,136.233276,134.770554,135.038239,133.259995,5129689
2021-08-10,135.000000,135.573608,134.168259,135.162521,133.382645,5543695
2021-08-11,135.544937,136.491394,135.277252,135.879547,134.090225,4455960
2021-08-12,136.003830,136.854691,135.831741,136.778198,134.977036,2184780
2021-08-13,136.367111,137.265778,136.175903,136.883362,135.080826,1997965
2021-08-16,136.931168,137.418732,135.975143,137.275330,135.467621,2913319
2021-08-17,136.711288,136.864243,134.885284,136.156784,134.363815,3215195
2021-08-18,135.439774,135.678772,133.260040,133.336517,131.580688,3672192
2021-08-19,132.590820,133.317398,131.175903,131.950287,130.212708,4351465
2021-08-20,131.682602,133.250473,131.233276,132.992355,131.241058,2780059
2021-08-23,133.479919,133.986618,132.695984,133.479919,131.722198,3179422
2021-08-24,133.632889,134.063095,133.193115,133.690247,131.929749,2474418
2021-08-25,133.766724,134.608032,133.326965,133.709366,131.948624,2105389
2021-08-26,133.814529,134.608032,132.609940,132.676865,130.929718,2613640
2021-08-27,132.609940,133.451248,132.313583,133.279160,131.524078,2572637
2021-08-30,133.365204,133.728485,132.715103,132.858505,131.108963,2087293
2021-08-31,133.403442,134.741867,132.839386,134.168259,132.401474,4429915
2021-09-01,133.824097,133.910141,133.068832,133.173996,131.420303,2588327
2021-09-02,133.575531,133.891006,132.915863,133.852768,132.090134,2840413
2021-09-03,133.537292,134.292542,133.173996,133.441681,131.684464,2009575
2021-09-07,133.508606,133.642441,131.701721,131.988525,130.250443,3436110
2021-09-08,132.065002,132.973236,131.548752,132.571701,130.825943,3122728
2021-09-09,131.787766,132.848953,131.510513,131.682602,129.948547,3669682
2021-09-10,132.715103,133.240921,130.975143,130.994263,129.269272,4157955
2021-09-13,132.313583,132.877625,131.462708,132.074570,130.335358,4334729
2021-09-14,132.313583,132.476105,129.388138,130.229446,128.514526,4659198
2021-09-15,130.229446,131.739960,129.703629,131.166351,129.439087,3403579
2021-09-16,131.242828,131.883362,129.741867,130.430206,128.712646,2765624
2021-09-17,129.780121,129.942642,129.110901,129.282990,127.580536,5890340
2021-09-20,128.011475,129.235184,126.940727,128.403442,126.712570,4990152
2021-09-21,129.168259,129.684509,127.093689,127.122368,125.448364,4261927
2021-09-22,127.839386,129.416824,127.600380,128.709366,127.014465,3767901
2021-09-23,129.302109,131.376678,129.091782,130.717010,128.995667,3151807
2021-09-24,131.003830,132.390060,130.736145,131.443588,129.712677,3100762
2021-09-27,131.892929,132.954117,131.434036,132.466537,130.722153,3459017
2021-09-28,133.049713,133.546844,131.175903,131.424469,129.693817,4513072
2021-09-29,131.673035,133.776291,130.439774,133.059280,131.307098,3947499
2021-09-30,133.843216,134.388138,132.409180,132.820267,131.071228,6090230
2021-10-01,134.799240,137.638626,134.196945,137.017212,135.212906,6907889
2021-10-04,136.462708,139.579346,136.089859,137.772461,135.958206,7689251
2021-10-05,138.384323,138.623322,136.367111,136.854691,135.052521,7297524
2021-10-06,136.214142,137.065002,134.694077,136.099426,134.307205,5573506
2021-10-07,136.453156,137.093689,135.305923,135.573608,133.788315,3999695
2021-10-08,135.573608,137.332703,134.847031,136.921600,135.118561,3902940
2021-10-11,137.189301,137.743790,136.137665,136.166351,134.373245,2921792
2021-10-12,135.956024,136.042068,134.130020,134.292542,132.524109,3293436
2021-10-13,134.340347,135.191208,133.518158,134.569794,132.797714,3013003
2021-10-14,134.837479,137.590820,134.808792,137.084137,135.278946,4410668
2021-10-15,137.084137,138.479919,136.510513,138.250473,136.429932,3371049
2021-10-18,137.667297,138.565964,135.525818,136.061188,134.269470,6437189
2021-10-19,134.875717,136.653915,134.340347,135.736145,133.948715,4539117
2021-10-20,135.449326,135.946457,134.512421,135.659653,133.873230,6474008
2021-10-21,127.638626,127.839386,122.466537,122.686424,121.070831,32913959
2021-10-22,122.418739,124.521988,121.042068,122.256210,120.646286,12114981
2021-10-25,121.921608,122.992355,121.357552,122.026772,120.419868,6667204
2021-10-26,121.912048,122.657745,121.185471,121.539200,119.938713,8912861
2021-10-27,121.835564,122.256210,119.512428,119.665390,118.089584,7294176
2021-10-28,119.665390,120.755257,119.139580,120.305923,118.721680,6802138
2021-10-29,119.913956,120.764816,119.416824,119.598473,118.023544,6188973
2021-11-01,119.550667,120.755257,118.393883,120.726578,119.136795,6177153
2021-11-02,120.745697,121.577438,119.416824,120.630974,119.042450,4722062
2021-11-03,120.678780,121.692162,120.152962,121.539200,119.938713,5670784
2021-11-04,123.050003,123.339996,119.900002,120.849998,119.258591,7208700
2021-11-05,121.430000,123.769997,121.430000,123.610001,121.982246,6786500
2021-11-08,123.989998,124.779999,123.529999,124.540001,122.900002,5625300
2021-11-09,122.559998,122.900002,120.260002,120.849998,120.849998,7236600
2021-11-10,121.000000,122.430000,119.930000,120.220001,120.220001,6270300
2021-11-11,120.900002,121.790001,120.080002,120.269997,120.269997,4643300
2021-11-12,120.000000,120.639999,118.779999,118.959999,118.959999,5414800
2021-11-15,119.540001,120.160004,118.309998,118.870003,118.870003,5046300
2021-11-16,118.919998,119.900002,118.419998,118.459999,118.459999,4750800
2021-11-17,118.379997,119.330002,117.779999,118.059998,118.059998,4043300
2021-11-18,118.360001,118.360001,116.309998,116.660004,116.660004,5046900
2021-11-19,116.489998,116.559998,115.269997,116.050003,116.050003,5380200
2021-11-22,116.000000,118.809998,115.190002,116.470001,116.470001,6416200
2021-11-23,116.790001,117.940002,116.040001,116.790001,116.790001,4912800
2021-11-24,116.160004,117.269997,116.080002,116.730003,116.730003,3220800
2021-11-26,115.000000,116.339996,114.559998,115.809998,115.809998,3322000
2021-11-29,118.620003,119.610001,117.529999,118.500000,118.500000,8949800
2021-11-30,117.500000,119.239998,116.449997,117.099998,117.099998,9252700
2021-12-01,118.250000,118.930000,116.849998,116.919998,116.919998,5958300
2021-12-02,117.370003,117.980003,116.559998,116.900002,116.900002,5267100
2021-12-03,117.360001,119.360001,117.360001,118.839996,118.839996,6629200
2021-12-06,119.400002,121.150002,119.400002,119.910004,119.910004,4785600
2021-12-07,120.480003,122.080002,120.070000,121.580002,121.580002,5194000
2021-12-08,122.000000,123.379997,121.519997,123.019997,123.019997,5483900
2021-12-09,122.150002,123.949997,121.790001,123.570000,123.570000,4074376
